Name,Follower,pagerank_score,other_lang,avatar_url,repo_cnt
lh4111,13,9.48,"Vue, Objective-C, TypeScript, HTML, JavaScript",https://avatars1.githubusercontent.com/u/11894906?v=4,52
munendrasn,4,9.48,"Python, HTML, Emacs Lisp",https://avatars3.githubusercontent.com/u/9696252?v=4,18
oldratlee,30,33.95,"Objective-C, R, Erlang, Vim script, CSS, Shell, Scala",https://avatars1.githubusercontent.com/u/1063891?v=4,86
duxinglangzi,3,9.48,"HTML, JavaScript",https://avatars2.githubusercontent.com/u/30685649?v=4,16
nschaffner,0,9.48,"Python, C, HTML",https://avatars1.githubusercontent.com/u/43625356?v=4,16
beilly,15,9.48,"Objective-C, API Blueprint, Swift, Kotlin, Dart, Python, PHP, HTML, C, Scala, JavaScript",https://avatars3.githubusercontent.com/u/7353956?v=4,106
zihengCat,21,9.48,"Python, JavaScript, Dockerfile, CSS, HTML, C, TypeScript",https://avatars3.githubusercontent.com/u/19472493?v=4,48
rmfish,4,9.48,"Groovy, CSS, Go, HTML",https://avatars0.githubusercontent.com/u/1287895?v=4,46
severalfly,5,17.63,"C, C++, CSS",https://avatars1.githubusercontent.com/u/8219881?v=4,50
ityouknow,30,9.48,"Python, JavaScript, CSS",https://avatars0.githubusercontent.com/u/4979648?v=4,46
RaytorHu,6,9.48,"Swift, PHP, C, JavaScript",https://avatars1.githubusercontent.com/u/37994163?v=4,10
imtms,17,9.48,"Dockerfile, Nginx, CSS, Go, PHP, HTML, JavaScript",https://avatars3.githubusercontent.com/u/8328620?v=4,36
7c00,30,9.48,JavaScript,https://avatars2.githubusercontent.com/u/5550004?v=4,4
a173030685,3,9.48,"JavaScript, CSS",https://avatars0.githubusercontent.com/u/9361755?v=4,16
dynamitechetan,30,28.0,"Python, CSS, Go, C, JavaScript",https://avatars1.githubusercontent.com/u/14369357?v=4,68
varunu28,30,9.48,"Kotlin, Python, Ruby, C, TSQL, CSS, XSLT, HTML, Shell, Scala, JavaScript",https://avatars0.githubusercontent.com/u/7676016?v=4,210
christianbender,30,9.48,"Processing, C++, Python, Tcl, Jupyter Notebook, C#, Lua, TypeScript, MATLAB, HTML, C, Ruby, JavaScript, WebAssembly",https://avatars0.githubusercontent.com/u/23243382?v=4,124
AnupKumarPanwar,30,21.53,"Objective-C, C++, Kotlin, Python, TypeScript, CSS, Go, PHP, HTML, C, Haskell, JavaScript",https://avatars2.githubusercontent.com/u/10573038?v=4,152
nikitap492,18,9.48,"Kotlin, Python, Shell, Scala, JavaScript",https://avatars3.githubusercontent.com/u/18111582?v=4,34
theycallmemac,30,9.48,"Rust, Python, Shell, Dockerfile, CSS, Go, HTML, C, JavaScript",https://avatars1.githubusercontent.com/u/16108563?v=4,52
SunggyuLee,2,9.48,"Jupyter Notebook, CSS, HTML, JavaScript",https://avatars1.githubusercontent.com/u/37533101?v=4,42
dpacmen,12,9.48,"Python, HTML, Jupyter Notebook",https://avatars0.githubusercontent.com/u/24369575?v=4,50
GammaBurst101,2,9.48,"HTML, JavaScript",https://avatars0.githubusercontent.com/u/35678205?v=4,16
mk9440,29,9.48,"HTML, C++, Python, Jupyter Notebook",https://avatars1.githubusercontent.com/u/17431191?v=4,126
RianGallagher,15,9.48,"C++, Python, Dockerfile, Go, JavaScript",https://avatars1.githubusercontent.com/u/22603971?v=4,24
dimgrichr,1,9.48,"Python, Shell",https://avatars3.githubusercontent.com/u/32580033?v=4,8
sahilb2,12,9.48,"Python, CSS, HTML, Shell, JavaScript",https://avatars0.githubusercontent.com/u/21992243?v=4,44
shivg7706,14,9.48,"C++, Python, Jupyter Notebook, C, JavaScript",https://avatars2.githubusercontent.com/u/21190262?v=4,66
LeeChungWan,13,21.53,"HTML, C++, Python, CSS, Jupyter Notebook, C, JavaScript",https://avatars2.githubusercontent.com/u/26535056?v=4,56
NISHITA97,30,9.48,"E, Python, Jupyter Notebook, HTML, JavaScript",https://avatars2.githubusercontent.com/u/22667364?v=4,60
The-TJ,1,9.48,"Python, CSS, HTML, C, Ruby",https://avatars1.githubusercontent.com/u/32796932?v=4,18
JeonSeongBae,13,28.0,"R, C++, Python, CSS, HTML, C, JavaScript",https://avatars2.githubusercontent.com/u/19682981?v=4,68
Phil-Schmidt,0,9.48,TeX,https://avatars3.githubusercontent.com/u/7570771?v=4,4
shikhart98,15,9.48,"Kotlin, C++, Python, CSS, PHP, HTML",https://avatars0.githubusercontent.com/u/29306481?v=4,92
shellhub,30,9.48,"HTML, Shell, C, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/32572119?v=4,38
ayaanfaiz,15,21.53,"C++, Python, HTML, C, JavaScript",https://avatars3.githubusercontent.com/u/20418075?v=4,68
RollandMichael7,1,9.48,"Python, Assembly, ShaderLab, HTML, C",https://avatars1.githubusercontent.com/u/14168201?v=4,24
freitzzz,16,9.48,"Batchfile, JavaScript, Dart",https://avatars1.githubusercontent.com/u/26190214?v=4,38
ShyamW,3,9.48,"Python, C#, CSS, Ruby, JavaScript",https://avatars2.githubusercontent.com/u/17036171?v=4,58
mpokryva,3,9.48,"HTML, C++, Python, Matlab, CSS, Jupyter Notebook, C",https://avatars3.githubusercontent.com/u/14366106?v=4,54
nisarhassan12,13,9.48,"Vue, JavaScript, CSS, HTML, TypeScript",https://avatars3.githubusercontent.com/u/46004116?v=4,54
ashish4321,11,9.48,"C++, Python, JavaScript, Jupyter Notebook, C#, C, HTML, Shell, TypeScript",https://avatars1.githubusercontent.com/u/25305613?v=4,66
dkesriyeli,8,9.48,"Processing, HTML, C++, CSS, Jupyter Notebook, C",https://avatars0.githubusercontent.com/u/8526977?v=4,22
hengyunabc,30,9.48,"HTML, C++, Python, Shell, PLpgSQL, CoffeeScript, CSS, Go, Jupyter Notebook, C, Visual Basic, JavaScript",https://avatars2.githubusercontent.com/u/1683936?v=4,242
Hearen,30,9.48,"HTML, C++, Python, JavaScript, Jupyter Notebook, TeX, C#, Vim script, Shell, C, Ruby, TypeScript",https://avatars3.githubusercontent.com/u/10859176?v=4,100
beiwei30,30,9.48,"Dockerfile, HTML, TypeScript",https://avatars3.githubusercontent.com/u/18651996?v=4,36
ralf0131,30,9.48,"C++, XSLT, Go, HTML, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/4397305?v=4,36
earayu,16,9.48,"Swift, HTML, C++, Python, ActionScript, TypeScript, Lua, CSS, Go, Jupyter Notebook, Shell, JavaScript",https://avatars1.githubusercontent.com/u/13747699?v=4,202
xuzhiyiYoh,4,9.48,JavaScript,https://avatars0.githubusercontent.com/u/48389485?v=4,14
